episode,total_steps,episode_return,episode_length,mean_return_10,mean_return_100,avg_loss,buffer_size,actions_taken
690,31314,4.0,28,7.1,6.5,0.5853866711258888,29934,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4]"
700,31886,5.0,84,7.0,6.63,1.7816145680844784,30486,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 4, 4, 1, 1, 1, 1, 0, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 1, 1, 0, 0, 0, 0, 0, 2, 0, 2, 2, 5, 4, 4, 5, 2, 3, 2, 3, 2, 0, 5, 5, 5, 1, 1, 1, 1, 1, 2, 0, 4, 4, 4, 4, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
710,32475,5.0,30,7.6,6.65,0.5325419567525387,31055,"[4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
720,32970,1.0,17,7.1,6.85,0.3523850440979004,31530,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 0, 0, 0, 0]"
730,33385,6.0,33,6.1,6.91,0.6245442181825638,31925,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 4, 4, 5, 4, 4, 4, 4, 4, 4]"
740,33768,6.0,53,4.4,6.57,1.1596138626337051,32288,"[2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 4, 4, 4, 4, 4]"
750,34279,3.0,30,6.0,6.37,0.6341510787606239,32779,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
760,34649,2.0,31,5.1,6.18,0.6040501855313778,33129,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 5, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
770,35055,6.0,47,5.8,6.05,0.9539927765727043,33515,"[1, 1, 1, 1, 1, 0, 5, 0, 5, 5, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 1, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
780,35619,2.0,14,6.8,6.3,0.24771664291620255,34059,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]"
