episode,total_steps,episode_return,episode_length,mean_return_10,mean_return_100,avg_loss,buffer_size,actions_taken
630,30728,6.0,33,6.4,6.0,0.7631425485014915,29468,"[4, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 4, 4]"
640,31285,2.0,21,5.7,6.11,0.4484436586499214,30005,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 4]"
650,31932,1.0,57,7.2,6.07,1.3538081422448158,30632,"[4, 4, 4, 4, 4, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 4, 1, 4, 2, 0, 2, 4, 4, 4, 0, 1, 0, 0, 0, 2, 2, 2, 1, 1, 1, 5, 4, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 2, 2, 2, 2]"
660,32556,6.0,32,6.4,6.24,0.6488364934921265,31236,"[5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4]"
670,33073,1.0,22,4.6,6.18,0.5459592863917351,31733,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
680,33408,2.0,27,3.5,6.01,0.5904922485351562,32048,"[1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
690,33919,6.0,37,5.6,5.93,0.7740060947835445,32539,"[1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
700,34398,9.0,79,5.9,5.81,1.8390873968601227,32998,"[2, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 1, 1, 1, 1, 0, 0, 4, 4, 5, 1, 1, 1, 1, 1, 2, 4, 2, 2, 2, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
710,34993,10.0,55,7.1,5.97,1.1487907133996487,33573,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 3, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 5, 4, 4, 4, 4, 4, 4, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2]"
720,35517,6.0,35,6.4,5.88,0.8002963289618492,34077,"[4, 4, 4, 4, 4, 5, 5, 5, 2, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4]"
